1,2,私よりあの子が好きなんでしょ？,それはそう,お前の事が一番好きだよ。,気のせいやで
2,1,ごめんなさい・・・,謝れてえらい！,感情こもってなくね？,謝るほどのことでも・・・
3,3,なんで昨日女の子と話してたの？,妹やで(嘘),えっと・・・,たまたまあった知り合いだよ！
4,1,あたしのこと好きじゃないのぉ？,君以外眼中にないよ！,どちらかというと・・・,まさかそんな！
5,3,もう疲れた。もうﾏｼﾞ無理,最近疲れやすくて困るよね,それな！☆,気分転換にどこか行こうか
6,2,全部私がわるいんだよね,落ち着きなはれ,何でそうなるの！？,もうマジ無理・・・
7,1,なにしてるー？いまどこー？だれといるのー？,それはそう,それはそう,それはそう
8,1,私の好きな飲み物は？,モンスター　,ストロングゼロ,タピオカ
9,1,何ですぐにメールの返信を返してくれなかったの？！,忙しくて返す暇がなかった,ごめん、気づかなかった,黙り込む
10,2,帰りたい！,じゃあ帰れや,お前だけだよ☆,お客様お帰りでーす！
11,1,楽しくなーい！,ディズニー行こうや！,それはそう,じゃあ帰れや
12,2,何でわかってわかってくれないの！？,そういわれましても・・・,言ってくれなきゃわかんないよ,お客様お帰りでーす！
13,1,もっと愛されたーい！,どしたん？話聞こか,それはそう,それはそう
14,3,あたしなんていらないんだよね,価値観は人それぞれやで,そうだろうか,そんなことないよ！
15,1,私マジでブスだよね・・・,君が一番かわいいよ！,美魔女だよね☆(殴,鏡・・・あっｔ
16,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
17,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
18,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
19,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
20,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
21,1,私よりあの子が好きなんでしょ？,それはそう,それはそう,それはそう
